,f1-score,precision,recall,support
0,0.8259587020648969,0.9090909090909091,0.7567567567567568,185.0
1,0.8249258160237388,0.7554347826086957,0.9084967320261438,153.0
accuracy,0.8254437869822485,0.8254437869822485,0.8254437869822485,0.8254437869822485
macro avg,0.8254422590443178,0.8322628458498024,0.8326267443914503,338.0
weighted avg,0.8254911530581005,0.8395365086418598,0.8254437869822485,338.0
