,f1-score,precision,recall,support
0,0.9344262295081968,0.9447513812154696,0.9243243243243243,185.0
1,0.9225806451612903,0.910828025477707,0.934640522875817,153.0
accuracy,0.9289940828402367,0.9289940828402367,0.9289940828402367,0.9289940828402367
macro avg,0.9285034373347436,0.9277897033465883,0.9294824236000707,338.0
weighted avg,0.9290641750553073,0.9293955426714527,0.9289940828402367,338.0
