,f1-score,precision,recall,support
0,0.9226519337016574,0.943502824858757,0.9027027027027027,185.0
1,0.910828025477707,0.8881987577639752,0.934640522875817,153.0
accuracy,0.9171597633136095,0.9171597633136095,0.9171597633136095,0.9171597633136095
macro avg,0.9167399795896822,0.915850791311366,0.9186716127892598,338.0
weighted avg,0.9172996912215853,0.9184687353158528,0.9171597633136095,338.0
