,f1-score,precision,recall,support
0,0.9096045197740114,0.9526627218934911,0.8702702702702703,185.0
1,0.9006211180124225,0.8579881656804734,0.9477124183006536,153.0
accuracy,0.9053254437869822,0.9053254437869822,0.9053254437869822,0.9053254437869822
macro avg,0.9051128188932169,0.9053254437869822,0.9089913442854619,338.0
weighted avg,0.9055380686807478,0.9098070795840482,0.9053254437869822,338.0
