,f1-score,precision,recall,support
0,0.8659217877094972,0.8959537572254336,0.8378378378378378,185.0
1,0.8490566037735848,0.8181818181818182,0.8823529411764706,153.0
accuracy,0.8579881656804734,0.8579881656804734,0.8579881656804734,0.8579881656804734
macro avg,0.857489195741541,0.8570677877036259,0.8600953895071541,338.0
weighted avg,0.8582875476438327,0.8607492996110161,0.8579881656804734,338.0
