,f1-score,precision,recall,support
0,0.8383561643835615,0.85,0.827027027027027,185.0
1,0.8102893890675241,0.7974683544303798,0.8235294117647058,153.0
accuracy,0.8254437869822485,0.8254437869822485,0.8254437869822485,0.8254437869822485
macro avg,0.8243227767255428,0.8237341772151898,0.8252782193958664,338.0
weighted avg,0.825651381474231,0.8262208823309115,0.8254437869822485,338.0
