,f1-score,precision,recall,support
0,0.9005524861878452,0.9209039548022598,0.8810810810810811,185.0
1,0.8853503184713376,0.8633540372670807,0.9084967320261438,153.0
accuracy,0.893491124260355,0.893491124260355,0.893491124260355,0.893491124260355
macro avg,0.8929514023295915,0.8921289960346703,0.8947889065536124,338.0
weighted avg,0.8936710315706095,0.8948532524860396,0.893491124260355,338.0
