,f1-score,precision,recall,support
0,0.925207756232687,0.9488636363636364,0.9027027027027027,185.0
1,0.9142857142857143,0.8888888888888888,0.9411764705882353,153.0
accuracy,0.9201183431952663,0.9201183431952663,0.9201183431952663,0.9201183431952663
macro avg,0.9197467352592006,0.9188762626262625,0.9219395866454689,338.0
weighted avg,0.9202637549963354,0.9217153039268424,0.9201183431952663,338.0
