,f1-score,precision,recall,support
0,0.8901734104046243,0.9565217391304348,0.8324324324324325,185.0
1,0.8848484848484849,0.8248587570621468,0.954248366013072,153.0
accuracy,0.8875739644970414,0.8875739644970414,0.8875739644970414,0.8875739644970414
macro avg,0.8875109476265546,0.8906902480962908,0.8933403992227522,338.0
weighted avg,0.887763015108502,0.8969228152947897,0.8875739644970414,338.0
